IDProduto,CodProd,Preco,PrecoProm,DataPromInicio,DataPromFim
5530972,6010165,"318,9",249,12/12/2016 00:00,01/01/2049 00:00
5530973,6010165-1,"318,9",249,12/12/2016 00:00,01/01/2049 00:00
5530977,6010166,"425,9",349,12/12/2016 00:00,01/01/2049 00:00
5530978,6010166-1,"425,9",349,12/12/2016 00:00,01/01/2049 00:00
5530984,6010167,"229,9",149,12/12/2016 00:00,01/01/2049 00:00
5530986,6010167-1,"229,9",149,12/12/2016 00:00,01/01/2049 00:00
5530988,6010168,"320,85",279,12/12/2016 00:00,01/01/2049 00:00
5530989,6010168-1,"320,85",279,12/12/2016 00:00,01/01/2049 00:00
5530991,6010169,"369,9",269,12/12/2016 00:00,01/01/2049 00:00
5530995,6010169-1,"369,9",269,12/12/2016 00:00,01/01/2049 00:00
5531004,6010170,"519,9",429,12/12/2016 00:00,01/01/2049 00:00
5531013,6010170-1,"519,9",429,12/12/2016 00:00,01/01/2049 00:00
5529272,6012242,"112,7",98,27/04/2017 00:00,01/01/2049 00:00
5529274,6012242-1,"112,7",98,27/04/2017 00:00,01/01/2049 00:00
5530409,6012236,"362,25",315,27/04/2017 00:00,01/01/2049 00:00
5530410,6012236-1,"362,25",315,27/04/2017 00:00,01/01/2049 00:00
5530457,6012237,364,299,10/12/2016 00:00,01/01/2049 00:00
5530458,6012237-1,364,299,10/12/2016 00:00,01/01/2049 00:00
5531801,6012239,"333,5",290,27/04/2017 00:00,01/01/2049 00:00
5531802,6012239-1,"333,5",290,27/04/2017 00:00,01/01/2049 00:00
4070891,COMBO1L-1,"753,25",655,27/04/2017 00:00,01/01/2049 00:00
4070892,COMBO1L-10,"753,25",655,27/04/2017 00:00,01/01/2049 00:00
4070864,COMBO1L,"753,25",655,27/04/2017 00:00,01/01/2049 00:00
4070867,COMBO2L,"823,4",716,27/04/2017 00:00,01/01/2049 00:00
4070893,COMBO2L-1,"823,4",716,27/04/2017 00:00,01/01/2049 00:00
4070894,COMBO2L-10,"823,4",716,27/04/2017 00:00,01/01/2049 00:00
5531815,6012240,"308,8",259,13/12/2016 00:00,01/01/2049 00:00
5531818,6012240-1,"308,8",259,13/12/2016 00:00,01/01/2049 00:00
5529268,6012241,"473,2",399,08/12/2016 00:00,01/01/2049 00:00
5529270,6012241-1,"473,2",399,08/12/2016 00:00,01/01/2049 00:00
5529277,6012243,"333,5",290,27/04/2017 00:00,01/01/2049 00:00
5529278,6012243-1,"333,5",290,27/04/2017 00:00,01/01/2049 00:00
4070895,COMBO3L-1,782,680,27/04/2017 00:00,01/01/2049 00:00
4070896,COMBO3L-10,782,680,27/04/2017 00:00,01/01/2049 00:00
4070870,COMBO3L,782,680,27/04/2017 00:00,01/01/2049 00:00
5695302,6013265,"51,9","39,9",03/01/2017 00:00,01/01/2049 00:00
5695331,6013265-1/1,"51,9","39,9",03/01/2017 00:00,01/01/2049 00:00
5695332,6013265-1/27,"51,9","39,9",03/01/2017 00:00,01/01/2049 00:00
5695333,6013265-1/28,"51,9","39,9",03/01/2017 00:00,01/01/2049 00:00
5695334,6013265-1/29,"51,9","39,9",03/01/2017 00:00,01/01/2049 00:00
5695335,6013265-1/30,"51,9","39,9",03/01/2017 00:00,01/01/2049 00:00
5695336,6013265-2/2,"51,9","39,9",03/01/2017 00:00,01/01/2049 00:00
5695337,6013265-25/1,"59,9","45,9",03/01/2017 00:00,01/01/2049 00:00
5695338,6013265-25/2,"59,9","45,9",03/01/2017 00:00,01/01/2049 00:00
5695339,6013265-26/30,"59,9","45,9",03/01/2017 00:00,01/01/2049 00:00
